common_name,soundalike_group,soundalike,song_desc,call_desc,other_desc,rec_regional,scientific_name,macaulay_greaterthan10,id,subspecies,habitat,residency,rarity,season_pre,season_breeding,season_post,mra_pre,mra_breeding,mra_post,iucn,rec_field_guide,notes,priority,status,PNW-CNet,https://zenodo.org/records/10252138
Belted Kingfisher,4,Downy Woodpecker,N/A,"Male and female Belted Kingfishers give strident, mechanical rattles in response to the slightest disturbance. When threatened they may give screams, which males sometimes combine with harsh calls.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=call&taxonCode=belkin1,Megaceryle alcyon,YES,belkin1,Monotypic,Lakes and Ponds,Year round,U,8 Mar-17 May,24 May-28 Jun,5 Jul-29 Nov,0.03,0.03,0.05,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,"Small possibility they would be found in forest, but unlikely",,,,
Bewick's Wren,6,?,"Only the male Bewick’s Wren sings, to defend territory and attract mates. Songs vary from one geographical area to another, and a single male may possess a repertoire of 9 to 22 distinct songs. Typically, these begin with two or more high, quick introductory notes, drop into a lower, burry phrase, and end on a high trill. Variations can include additional warbles and buzzy notes. Songs last about 2 seconds.","Foraging Bewick’s Wrens stay in contact with short notes that sound like plink plink or pee or—from females—sker. If a male hears another male nearby, he may stop foraging, hurrying to the territorial boundary to chase the interloper away. When agitated, both males and females scold in quick, raspy notes. Immediately before roosting, the male utters series of harsh (spzz) notes.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&taxonCode=bewwre&tag=song,Thryomanes bewickii,YES,bewwre,calophonus,Open Woodlands,Year round,U,N/A,17 May-26 Jul,N/A,N/A,0.1,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,1,,,1
Black Swift,8,?,N/A,"In flight, Black Swifts make a rapid series of twittering chips.",,https://xeno-canto.org/species/Cypseloides-niger,Cypseloides niger,"Yes, but from North America with no year bounds",blkswi,borealis,Forests,Breeding,R,8 Feb-7 Jun,14 Jun-19 Jul,26 Jul-15 Nov,0.005,0.04,0.02,VU,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,"Nests on cliffs, I found conflicting info on whether they can be found near Forks, small possibility they would be found in forest, but unlikely",,Declining,,
Black-capped Chickadee,9,?,"In most of North America, the song is a simple, pure 2 or 3-note whistled fee-bee or hey, sweetie. In the Pacific Northwest, the song is 3 or 4 notes on the same pitch; the song is also different on Martha's Vineyard in MA. In much of the range, males begin singing in mid-January, and the song increases in frequency as winter progresses. Females also sing occasionally.","Chickadees make their chickadee-dee-dee call using increasing numbers of dee notes when they are alarmed. They also have a gargling call, often given aggressively when a lower-ranking bird gets close to a higher-ranking one; also exchanged between members of a pair. Black-capped Chickadees make a high pitched see as a high-intensity alarm call, often when a fast-approaching predator is detected. When chickadees hear this call, they freeze in position until they hear a chickadee-dee call signifying “all clear.” High see calls most often given by males.",Chickadee nestlings make an explosive hiss and slap the inside of their nest cavity when an intruder looks in.,https://search.macaulaylibrary.org/catalog?taxonCode=bkcchi&tag=song&regionCode=US-WA,Poecile atricapillus,YES,bkcchi,occidentalis,Forests,Year round,U,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.7,,,,1
Black-headed Grosbeak,3,"American Robin, Western Tanager, Townsend's Solitare, Red-eyed Vireo","The Black-headed Grosbeak's whistled song rises and falls like an American Robin's, but it’s longer, sweeter, more varied, and less choppy in its phrases. It's sometimes likened to that of a ""drunk"" or ""operatic"" robin. Both males and females sing. The female's song is usually shorter, simpler, and quieter. She sings less frequently than the male, usually from the nest.","The Black-headed Grosbeak's typical call is a sharp spik uttered frequently to keep contact with mates while foraging. They utter an upslurring wheet upon taking flight. Their distress call is a series of rapidly repeated notes flung out in response to imminent danger to themselves or their chicks, or in violent altercations with other grosbeaks.",,https://search.macaulaylibrary.org/catalog?tag=song&regionCode=US-WA&taxonCode=bkhgro,Pheucticus melanocephalus,YES,bkhgro,maculatus,Forests,Breeding,C,29 Mar-14 Jun,21 Jun-5 Jul,12 Jul-25 Oct,0.3,0.5,0.2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Black-throated Gray Warbler,6,Warblers,Male Black-throated Gray Warblers sing a series of 5–9 buzzy notes; singing zeedle zeedle zeedle zeet-chee.,Males and females give a flat chup.,,https://search.macaulaylibrary.org/catalog?tag=song&regionCode=US-WA&taxonCode=btywar,Setophaga nigrescens,FEW,btywar,nigrescens,Forests,Breeding,C,8 Mar-31 May,7 Jun-26 Jul,2 Aug-22 Nov,0.1,0.1,0.05,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Brewer's Blackbird,8,?,,,,,,FEW,brebla,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Brown Creeper,6,Golden-crowned Kinglet,"Only the male sings, and usually only on the breeding grounds, though sometimes during migration as well. His song is a jumble of high, thin notes that lasts up to 1.5 seconds. It’s sometimes likened to singing the phrase trees, beautiful trees. Creepers may join single songs together two or three times in a row. Although the delicate song carries well through the woods the thin, high notes can be easily missed.","Males and females make high, wavering call notes that sound like a small chain being dropped into a heap; these notes are noticeably longer than the very short call notes of many other birds. Creepers give these calls all year long and especially while foraging. Their calls can be hard to distinguish from the calls of Golden-crowned Kinglets. They use other variations of calls during flight, courtship chases, courtship feeding rituals, and aggressive interactions.",Calls similar to a Golden-Crowned Kinglet,https://search.macaulaylibrary.org/catalog?tag=song&regionCode=US-WA&taxonCode=brncre1,Certhia americana,YES,brncre,occidentalis,Forests,Year round,C,8 Mar-10 May,17 May-6 Sep,13 Sep-6 Dec,0.2,0.2,0.2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/?speciesCode=brncre&species=Brown%20Creeper%20-%20Certhia%20americana,,1,,,1
Brown-headed Cowbird,2 and 3,?,"Male Brown-headed Cowbird sing a liquid-sounding series of low gurgling notes followed by thin sliding whistles, lasting slightly longer than 1 second. Song learning in cowbirds has been an interesting scientific puzzle, since the birds aren’t raised by members of their own species.","Both male and female Brown-headed Cowbirds make a variety of whistles, clicking and chattering calls. You’ll often hear flight whistles, which are a series of 2–5 clear sweeping whistles with occasional buzzes or trills mixed in. Females make a distinctive rolling chatter that is very attractive to males. Males give their own chatter calls less often. Both sexes may make a short cluck note while feeding.",,https://search.macaulaylibrary.org/catalog?tag=song&regionCode=US-WA&taxonCode=bnhcow,Molothrus ater,FEW,bnhcow,artemisiae,Grasslands,Year round,U,15 Feb-17 May,24 May-28 Jun,5 Jul-29 Nov,0.2,0.7,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Breed in trees,,,,1
Bullock's Oriole,3,Canada Jay,,,,,,FEW,bulori,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Bushtit,8,?,,,,,,YES,bushti,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
California Quail,8,?,,,,,,YES,calqua,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Canada Jay,3 and 4,"American Robin, Bullock's Oriole","Canada Jays sing a “whisper song,” a series of soft melodious notes interspersed with quiet clicks, lasting up to a minute.","Canada Jays have a wide array of calls from harsh chatters to clear whistles, though they are much less vocal than other jays and crows. They can imitate the calls of their predators, including Northern Pygmy-Owls, Rough-legged Hawks, Merlins, Pine Grosbeaks, Red-tailed Hawks, Broad-winged Hawks, American Crows, and Blue Jays. This mimicry may confuse the predator or signal a threat to other Canada Jays.",Canada Jays sometimes snap their bills while chasing away intruders.,https://xeno-canto.org/species/Perisoreus-canadensis?pg=1,Perisoreus canadensis,YES,gryjay,obscurus,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,"AKA Gray Jay, Year round abundance is 0.2",1,,1,1
Cassin's Finch,2,"House Finch, Finches",,,,,,YES,casfin,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,Declining,,
Cassin's Vireo,3,"American Robin, Black-headed Grosbeak",,,,,,YES,casvir,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Cedar Waxwing,6,Swainson's Thrush,N/A,"Cedar Waxwings have two common calls: a high-pitched, trilled bzeee and a sighing whistle, about a half-second long, often rising in pitch at the beginning. Cedar Waxwings call often, especially in flight.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&taxonCode=cedwax&tag=song,Bombycilla cedrorum,FEW,cedwax,Monotypic,Open Woodlands,Year round,C,5 Apr-14 Jun,21 Jun-16 Aug,23 Aug-20 Dec,0.3,1.3,0.6,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Chestnut-backed Chickadee,9,?, ,"The main call of the Chestnut-backed Chickadee is a high, thin, scratchy chick-a-dee, 1-1.5 seconds long. The number of dee notes is variable, but typically fewer than in the Black-capped Chickadee’s call. The Chestnut-backed Chickadee’s other common call is the gargle, a jumble of short clicks often dropping in pitch and ending on a longer note. The whole call lasts about a second. It’s typically used to defend territories or to signal aggression by birds in a flock.","Incubating adults and near-to-fledging nestlings hiss at intruders to the nest, accompanying this snake-like sound with a sharp slap of the wing against the walls of the nest cavity.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=chbchi,Poecile rufescens,YES,chbchi,rufescens,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.8,1,Declining,,1
Chipping Sparrow,2 and 6,"Dark-eyed Junco, Orange-crowned Warbler, Brown-headed Cowbird, end of Pacific Wren","Male Chipping Sparrows sing a long, dry trill of evenly spaced, almost mechanical-sounding chips. It’s one of the most common sounds of open woods in spring – but be careful, because Dark-eyed Juncos sound very similar (though a bit more musical) and often live in the same habitats. Songs are about 3.6 seconds long on average, consisting of around 55 nearly identical chip notes in a row.","Year round, both sexes use a single chip note to stay in contact with others. Upon sighting a hawk, Chipping Sparrows give a long zeeeee call as an alarm. During courtship, females make a soft, rapid see-see-see-see to attract the attention of her mate.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=chispa,Spizella passerina,YES,chispa,arizonae,Open Woodlands,Breeding,R,1 Mar-7 Jun,14 Jun-5 Jul,12 Jul-29 Nov,0.3,0.6,0.4,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Clark's Nutcracker,4,?,,,,,,YES,clanut,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Common Raven,1,American Crow,N/A,"Common Ravens make many different kinds of calls varying from a low, gurgling croak to harsh grating sounds and shrill alarm calls. Scientists have placed their vocalizations into as many as 33 different categories based on sound and context. The most commonly heard is the classic gurgling croak, rising in pitch and seeming to come from the back of the throat. It’s much deeper and more musical than a crow’s simple, scratchy caw. Ravens make this call often. It’s audible for more than a mile, and ravens often give it in response to other ravens they hear in the distance. Among their other calls, ravens make short, repeated, shrill calls when chasing predators or trespassers, and deep, rasping calls when their nests are disturbed. Dominant females sometimes make a rapid series of 12 or so loud knocking sounds that lasts about a second. Common Ravens can mimic other birds, and when raised in captivity can even be taught words.",Displaying males and females snap their beaks audibly. Females performing the rapid knocking call often end it with a bill snap.,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=comrav,Corvus corax,YES,comrav,principalis,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 1.3,1,,1,1
Common Yellowthroat,6,Warblers,"The male sings a distinctive witchety-witchety-witchety song, about 2 seconds long, to defend the territory and attract females. They give these songs very frequently during summer, averaging as high as 125 songs per hour and sometimes reaching 300 songs per hour.","Both males and females give a strong chuck when potential predators approach. Males give an aggressive chatter call when other males are singing, and females give a fast series of chipping notes when they’re ready to mate.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=comyel,Geothlypis trichas,YES,comyel,arizela,Scrub,Breeding,U,22 Feb-24 May,31 May-19 Jul,26 Jul-29 Nov,0.09,0.2,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Sometimes found in forests,,,,1
Cooper's Hawk,4 and 5,?,N/A,"Outside of the breeding season, Cooper’s Hawks tend to be silent. The most common call is a loud, grating cak-cak-cak, 2-5 seconds long, given by both sexes in defense of the nest. This call is also given during courtship. Males frequently make a kik call to tell their mates where they are; females make this call too, but less often. Females make a whaa call when approaching or receiving food from males.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=coohaw,Accipiter cooperii,YES,coohaw,Monotypic,Forests,Breeding,U,15 Mar-24 May,31 May-9 Aug,16 Aug-29 Nov,0.03,0.02,0.07,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Dark-eyed Junco,2 and 6,"Chipping Sparrow, Orange-crowned Warbler, Brown-headed Cowbird","Male Dark-eyed Juncos sing an even, musical trill of 7-23 notes that lasts up to 2 seconds. It’s similar to the songs of both the Chipping Sparrow and the Pine Warbler, and is loud enough to be heard from several hundred feet away. Both sexes sing a much quieter song as well, a series of whistles, trills, and warbles that may sound like an American Goldfinch. This song typically doesn’t carry any farther than about 40 feet.","Juncos have a high, short chip note that they often give in rapid succession when they fly and more slowly as they forage; the note may encourage other juncos to follow. A sharp but musical kew seems to indicate aggression and encourages two birds to move apart; it’s usually given by the dominant bird. You may also hear juncos give a high, fast twittering call of 6–19 notes during altercations or as birds flush.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=orejun,Junco hyemalis,YES,daejun,shufeldti,Forests,Year round,C,15 Feb-17 May,31 May-30 Aug,6 Sep-13 Dec,2.7,1.1,3.5,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Downy Woodpecker,4,"Hairy/Three-toed Woodpecker, American Robin",N/A,"The Downy Woodpecker’s whinnying call, made by both sexes, is a typical sound of deciduous forests during the breeding season. It’s a somewhat excited string of hoarse, high-pitched notes that descend in pitch toward the end; the call lasts about 2 seconds. Excited birds also give a very sharp pik note, occasionally repeated several times.","Both sexes drum on trees to claim territories, attract mates, and signal readiness for mating. The drumming is made up of very rapid strikes given at a steady pace, almost fast enough to blend into a single uninterrupted sound. The birds also make a slow, deliberate and much quieter tapping as they excavate, and this can attract a mate to the site. Excited Downy Woodpeckers may also produce a “wing ruffle” sound in flight.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=dowwoo,Dryobates pubescens,YES,dowwoo,gairdnerii,Forests,Year round,U,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.1,,,1,1
Dusky Flycatcher,7,?,,,,,,FEW,dusfly,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Eastern Kingbird,7,?,,,,,,FEW,easkin,,,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Eurasian Collared-Dove,POTENTIAL PRESENCE,POTENTIAL PRESENCE,,,,,,FEW,eucdov,,,,R,,,,,,,,,,,,,
European Starling,4,?,"Starlings are relatives of the mynah birds, and like them they have impressive vocal abilities and a gift for mimicry. They can warble, whistle, chatter, make smooth liquid sounds, harsh trills and rattles, and imitate meadowlarks, jays, and hawks. The songs tend to consist of either loud whistles or softer, jumbled warbling. Whistled songs are a few seconds long, often used between males. Warbled songs can go on for more than a minute, and seem mainly directed at females. Males sing several varieties of each of these two classes of songs. Females also sing, particularly in the fall. Songs often include imitations of other birds, including Eastern Wood-Pewee, Killdeer, meadowlarks, Northern Bobwhite, Brown-headed Cowbird, Northern Flicker, and others.","Male and female starlings use about 10 kinds of calls to communicate about where they are, whether there’s danger around, and how aggressive or agitated they feel. Among these are a purr-like call given as the bird takes flight, and a rattle that starlings make as they join a flock on the ground. Two types of screamlike calls indicate aggression and are often accompanied by flapping wings: one is a chattering call (described as chackerchackerchacker); the other is a high-pitched trill. Starlings also make metallic chip notes to other flock members and when harassing or mobbing predators.",Male starlings sometimes clack or rattle their bills as part of their warbled song.,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=eursta,Sturnus vulgaris,YES,eursta,vulgaris,Towns,Year round,U,8 Feb-12 Apr,19 Apr-30 Aug,6 Sep-29 Nov,4.7,2.7,8.2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,"Small possibility they would be found in forest, but unlikely",,,,
Evening Grosbeak,7,?,"Although they are songbirds by lineage, Evening Grosbeaks do not have regular songs. They may rarely give short, uneven warbles.","Evening Grosbeaks give sweet, piercing calls and burry chirps",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=evegro,Coccothraustes vespertinus,YES,evegro,brooksi,Forests,Year round,C,19 Apr-24 May,31 May-30 Aug,6 Sep-22 Nov,0.4,0.3,0.4,VU,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,Declining,,1
Fox Sparrow,6,Pacific Wren,"Male Fox Sparrows sing a sequence of about a dozen rich, whistled notes lasting 2–3 seconds in all, usually from a concealed perch a few feet from the top of a spruce or fir tree. During summer they sing vigorously at any time from before dawn until long after dark, in fair weather or foul. Northern and eastern populations of Fox Sparrows sing one or two song types each, while western populations sing three or four. Western songs tend to be less rich and more burry than eastern songs. The female occasionally sings a softer, briefer version of the male’s song.","When fighting over territory or when a human approaches the nest, Fox Sparrows give smack calls (which vary from population to population). Their other calls include chu-chu calls and sip calls.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=foxspa,Passerella iliaca,YES,foxspa,unalaschcensis,Forests,Nonbreeding,U,22 Feb-17 May,24 May-2 Aug,16 Aug-20 Dec,0.06,0.03,0.1,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Likely no residency during breeding season,,,,
Golden Eagle,4,?,,,,,,FEW,goleag,,,,U,,,,,,,,,,1,,,
Golden-crowned Kinglet,6,Brown Creeper,"Golden-crowned Kinglets sing an ascending, accelerating series of up to 14 very high-pitched tsee notes lasting up to 3 seconds and sometimes ending in a musical warble that drops an octave or more in pitch. This is one of the first bird songs that people stop being able to hear as they age. Both males and females sing while constructing the nest, when other songbirds approach, and when predators are nearby, and males sing to proclaim their territory.","Both males and females give thin, threadlike tsee notes, often two or three in a row, to contact each other. Calls similar to Brown Creeper.",,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=gockin,Regulus satrapa,YES,gockin,olivaceus,Forests,Year round,C,8 Mar-17 May,24 May-23 Aug,30 Aug-22 Nov,0.6,0.4,1.4,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Golden-crowned Sparrow,POTENTIAL PRESENCE,POTENTIAL PRESENCE,,,,,,YES,gocspa,,,,R,,,,,,,,,,,,,
Great Horned Owl,5,"Band-tailed Pigeon, Long-eared Owl","Great Horned Owls advertise their territories with deep, soft hoots with a stuttering rhythm: hoo-h’HOO-hoo-hoo. The male and female of a breeding pair may perform a duet of alternating calls, with the female’s voice recognizably higher in pitch than the male’s.","Young owls give piercing screams when begging for food, while adults may scream to defend the nest. Adults make an array of other sounds, including whistles, barks, shrieks, hisses, coos, and wavering cries.","Great Horned Owls snap their bills in response to stressful conditions or disturbance, particularly when potential predators (such as humans) approach their young.",https://search.macaulaylibrary.org/catalog?regionCode=US-WA&tag=song&taxonCode=grhowl,Bubo virginianus,YES,grhowl,saturatus,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundance is 0.1,,,1,
